"","1"
"able",1
"abolish",1
"abuja",1
"abundance",1
"academy",1
"acceded",1
"accelerate",1
"account",1
"accountable",1
"acquire",1
"across",5
"act",1
"actions",1
"addition",2
"additional",3
"additionally",1
"address",2
"addressing",1
"administration",2
"advantage",3
"adverse",1
"afford",1
"affordable",1
"age",1
"agencies",1
"agenda",2
"aggregate",1
"ago",4
"agree",1
"allocations",1
"allow",1
"already",2
"also",11
"although",1
"always",1
"ambience",1
"ambitious",1
"among",1
"anaemic",1
"announced",1
"apart",2
"approximately",1
"around",1
"artisans",1
"aspirations",1
"assets",1
"assure",2
"attention",2
"august",1
"automation",1
"aware",1
"back",4
"backward",1
"barrels",1
"belarus",1
"believe",1
"beneficiaries",1
"benefit",1
"benefits",1
"benefitted",1
"better",1
"bigotry",1
"billion",4
"billions",1
"bless",1
"blessed",1
"blocked",2
"blocking",1
"bloodshed",1
"boost",1
"boosting",1
"borno",1
"brazil",1
"bridges",1
"brighter",2
"bring",1
"brothers",1
"buck",1
"build",3
"built",1
"burden",1
"business",1
"can",4
"care",1
"carry",1
"cash",2
"catch",1
"cent",1
"centres",2
"cforces",1
"charge",1
"choose",1
"circumstances",1
"cities",1
"citizen",1
"citizens",4
"city",2
"clear",2
"cleared",1
"cng",2
"coastal",1
"collective",1
"come",2
"coming",2
"commercial",1
"commiserate",1
"commitment",1
"committed",1
"compared",1
"competitive",1
"complete",2
"compressed",1
"comprising",1
"concerns",1
"conclusion",1
"concrete",1
"confirm",1
"conjunction",1
"connecting",1
"consequently",1
"constituted",1
"constitutional",2
"consume",1
"consumer",1
"continue",4
"contrary",1
"conventions",1
"conversion",2
"corporation",2
"corruption",1
"cost",1
"costs",2
"couldnt",1
"countries",1
"country",13
"countrys",1
"create",2
"created",1
"creating",3
"creative",1
"creatively",1
"credit",2
"crime",1
"critical",1
"cultivate",1
"cultural",1
"curb",1
"current",1
"currently",1
"dashed",1
"date",2
"day",1
"dear",3
"debt",1
"decades",2
"decision",1
"decisions",1
"deck",1
"deliver",1
"delivering",1
"democracy",2
"democratic",3
"dependent",1
"deserve",1
"desired",1
"destiny",1
"destruction",4
"detriment",1
"development",1
"developments",1
"dialogue",1
"didnt",1
"died",1
"digital",2
"dignity",1
"dip",1
"direct",1
"directed",1
"distributed",1
"distributing",1
"distribution",1
"divides",1
"division",1
"dollars",1
"dont",1
"doubled",1
"dreams",1
"drive",2
"drugs",1
"due",1
"duties",1
"earn",1
"easier",1
"eat",1
"economic",7
"economy",7
"education",2
"efcc",1
"efforts",1
"eliminate",1
"embarked",1
"empower",1
"encourage",1
"end",1
"enemies",1
"enforcement",1
"enjoin",1
"enjoy",2
"enjoying",1
"ensure",2
"ensuring",1
"enterprises",1
"equipment",2
"era",1
"especially",2
"essential",2
"established",1
"estate",1
"estates",1
"ethnic",1
"ever",2
"every",5
"everyone",1
"exchange",3
"expand",2
"expected",1
"experiencing",1
"export",1
"extended",1
"extremely",1
"facilities",1
"families",1
"far",1
"farmers",1
"farming",1
"fear",1
"federal",2
"federation",1
"feel",1
"fellow",2
"fertilisers",1
"financial",1
"first",5
"fiscal",1
"focused",2
"following",1
"food",3
"foreign",4
"forward",1
"foundation",1
"free",1
"freedom",2
"frustration",1
"fuel",1
"fulfilled",1
"full",1
"fully",1
"fund",1
"funding",1
"furthermore",1
"future",3
"gaps",1
"gas",6
"generations",2
"geopolitical",1
"given",1
"globally",1
"goal",1
"god",2
"gone",1
"good",2
"goods",1
"governance",4
"government",6
"governments",1
"governors",1
"gradually",1
"great",1
"greed",1
"grow",1
"growth",3
"half",3
"hands",1
"hard",2
"hardearned",1
"healthcare",2
"heard",1
"heart",1
"heavy",1
"hectares",1
"help",3
"hereby",1
"highest",1
"highway",2
"history",1
"hitting",1
"homes",1
"hope",4
"hopes",2
"households",1
"housing",4
"hubs",2
"human",1
"idice",1
"idly",1
"immediate",1
"immediately",1
"impact",1
"impeded",1
"import",2
"imported",1
"improve",1
"inaugurated",1
"incentives",2
"include",2
"including",1
"increase",2
"increased",1
"increasing",1
"industry",2
"inflation",1
"infrastructure",2
"inherited",1
"initiative",5
"innocent",1
"instance",1
"institutions",1
"integration",1
"interest",1
"introduced",1
"introducing",1
"investment",1
"investments",1
"investors",1
"jigawa",1
"jobs",4
"journey",1
"jugular",1
"just",2
"kaduna",1
"kano",2
"karsana",2
"key",1
"kits",2
"lagoscalabar",1
"land",2
"large",1
"last",3
"launched",1
"launching",1
"law",4
"leading",1
"leakages",1
"least",1
"led",1
"legitimate",1
"let",5
"levels",1
"life",1
"like",1
"line",1
"listening",1
"live",1
"livelihood",2
"lives",3
"loan",2
"loans",2
"local",1
"longterm",1
"looting",1
"loss",1
"lot",1
"loud",1
"low",1
"lowestearning",1
"made",4
"maintain",1
"maize",1
"major",1
"make",1
"making",1
"manner",1
"manufacturers",1
"manufacturing",1
"many",2
"matter",1
"may",3
"meaningful",1
"mechanized",1
"medical",1
"meeting",1
"met",1
"micro",1
"million",5
"millions",3
"minimum",2
"ministers",1
"misalignments",1
"miseducate",1
"misinform",1
"mismanagement",1
"mobilising",1
"money",1
"month",4
"months",5
"msme",1
"much",1
"multiple",1
"must",6
"naira",5
"nanobusinesses",2
"nanogrants",1
"natep",1
"nation",8
"national",3
"nations",1
"nationwide",1
"natural",1
"nbillion",3
"necessary",4
"need",1
"needs",1
"neglecting",1
"neighbouring",1
"nelfund",1
"never",1
"new",2
"next",2
"nigeria",5
"nigerian",5
"nigerians",6
"niya",1
"nmillion",1
"nobody",1
"nonoil",1
"noose",1
"notably",2
"now",3
"oath",1
"obligations",1
"october",1
"oil",4
"oilbased",1
"oncedeclining",1
"one",4
"opaque",1
"open",2
"operatives",1
"opportunities",2
"opportunity",2
"order",2
"ordered",2
"organisers",2
"output",2
"outstanding",1
"oxygen",1
"pain",1
"pained",1
"painful",1
"paramount",1
"party",1
"past",4
"pay",1
"payment",1
"payments",2
"peace",2
"peaceful",1
"people",8
"per",2
"person",1
"personal",1
"petrol",1
"petroleum",1
"pharmaceutical",1
"phase",1
"place",2
"planned",1
"planters",1
"please",1
"plenty",1
"pms",2
"point",1
"political",1
"population",1
"power",3
"president",2
"prices",2
"private",1
"problems",1
"proceeds",1
"processed",2
"production",4
"productivity",1
"products",1
"profits",1
"programme",3
"programmes",2
"progress",3
"progresses",1
"progressive",1
"project",1
"projects",4
"promise",1
"promised",1
"promote",1
"properties",2
"property",1
"prosperity",2
"prosperous",1
"prostrate",1
"protect",1
"protected",1
"protection",1
"protest",4
"protesters",2
"protests",4
"provide",3
"providing",2
"public",2
"put",1
"railways",1
"reach",1
"reached",1
"reaching",1
"ready",1
"rebuilding",1
"receive",1
"receiving",2
"recovered",1
"recovering",1
"reduce",3
"reforms",1
"regardless",1
"relations",1
"release",1
"released",1
"religion",1
"remained",1
"remove",1
"removed",1
"rendering",1
"renewed",3
"rentseekers",1
"republic",1
"requires",1
"reshaping",1
"resources",4
"respected",1
"respective",1
"responsibility",1
"responsible",1
"restore",1
"results",1
"resurgence",1
"revenue",1
"revenues",1
"reverse",1
"rice",1
"rights",2
"roads",1
"room",2
"safety",1
"sake",1
"save",1
"scarce",1
"scheme",2
"section",1
"sector",2
"secured",1
"security",2
"see",1
"seek",1
"seen",1
"sense",1
"serve",1
"service",1
"services",1
"set",2
"sets",1
"setting",2
"shame",1
"shops",1
"shown",1
"shut",1
"side",1
"signatory",1
"signed",2
"significant",1
"since",1
"single",1
"singledigit",2
"sisters",1
"situation",1
"six",2
"skillup",1
"slightest",1
"small",1
"smugglers",1
"social",1
"sokotobadagry",1
"solely",1
"solutions",1
"solve",1
"soon",1
"sorghum",1
"speak",1
"spend",1
"spent",1
"stabilising",1
"stagnation",1
"stand",1
"started",1
"starting",1
"state",2
"states",7
"stay",1
"stimulate",1
"stimulating",1
"stop",1
"stops",1
"strides",1
"student",2
"students",1
"stunted",1
"subsidies",2
"subsidise",1
"sunday",1
"supa",1
"supermarkets",1
"supplies",1
"support",1
"suspend",1
"systems",1
"table",1
"take",1
"taken",2
"taking",1
"talent",1
"talents",1
"target",1
"tariffs",1
"task",1
"tear",2
"technical",2
"tell",1
"temporary",1
"text",1
"thank",3
"therefore",1
"thousands",2
"threaten",1
"threats",1
"three",1
"today",1
"together",3
"took",1
"total",1
"tourism",1
"tractors",1
"trade",1
"transactions",1
"transparent",1
"transport",1
"transportation",2
"tribe",1
"trillion",2
"turmoil",1
"two",2
"unborn",1
"unconstitutional",1
"understand",1
"undue",2
"unfortunately",1
"united",1
"units",4
"unity",1
"unleashed",1
"use",3
"used",2
"using",1
"vandalised",1
"vehicles",1
"vibrant",1
"violence",2
"violent",1
"visible",1
"vision",1
"wage",1
"want",1
"wanton",1
"warned",1
"way",1
"week",2
"well",2
"wheat",1
"whilst",1
"will",16
"within",1
"without",3
"work",5
"workers",1
"working",3
"worth",1
"year",3
"years",2
"yes",1
"yet",1
"young",3
"youth",5
"zones",1
